query	time	cardinality
Q1.sparql	1.2577791214	4
Q2.sparql	1.5507121086	17
Q3.sparql	1.4601440430	18
Q4.sparql	4.7273859978	49
Q5.sparql	0.4270789623	0
Q6.sparql	0.4155230522	0
Q7.sparql	0.4662780762	0
Q8.sparql	0.4387669563	0
Q9.sparql	258.2588090897	4719
Q10.sparql	0.4293990135	0
Q11.sparql	0.4287540913	0
Q12.sparql	0.4345669746	0
Q13.sparql	0.4268379211	0
Q14.sparql	235.2226471901	17
Q15.sparql	241.4284701347	11292
Q16.sparql	241.5843789577	640
Q17.sparql	105.3402938843	13409
Q18.sparql	288.5073947906	83279
Q19.sparql	54.4128479958	69
Q20.sparql	56.6568479538	1034
